"FileName","LOC","FanIn","FanOut","DistinctIssueCount","TargetChangeCount","TargetChurn","ChangeCount","ChangeChurn","numClique","numCrossing","isCenter","numModularityViolation","numPackageCycle","numUnhealthyInheritance","numUnstableInterface","isUnstableInterface"
"Formatter.java","48","0","1","0","0","0","0","0","0","0","false","0","0","0","0","false"
"Output.java","3","2","0","0","0","0","0","0","0","0","false","0","0","1","0","false"
"IndexGenerator.java","38","2","2","0","0","0","0","0","0","0","false","0","0","0","0","false"
"InputProcessor.java","4","2","0","0","0","0","0","0","0","0","false","0","0","1","0","false"
"StopWordsFilter.java","11","1","1","0","0","0","0","0","0","0","false","0","0","0","0","false"
"WordFilter.java","3","3","0","0","0","0","0","0","0","0","false","0","0","0","0","false"
"AlphabetSort.java","13","1","2","0","0","0","0","0","0","0","false","0","0","1","0","false"
"TextFileInput.java","29","1","2","0","0","0","0","0","0","0","false","0","0","1","0","false"
"ConsoleOutput.java","6","1","1","0","0","0","0","0","0","0","false","0","0","1","0","false"
"Shift.java","4","2","0","0","0","0","0","0","0","0","false","0","0","1","0","false"
"Sorting.java","4","2","0","0","0","0","0","0","0","0","false","0","0","1","0","false"
"Main.java","58","0","13","0","0","0","0","0","0","0","false","0","0","4","0","false"
"KeywordSearch.java","28","1","2","0","0","0","0","0","0","0","false","0","0","0","0","false"
"Sentence.java","18","7","0","0","0","0","0","0","0","0","false","0","0","0","0","false"
"CircularShift.java","18","1","2","0","0","0","0","0","0","0","false","0","0","1","0","false"
